#   XYZ data converted from README.txt
#  https://sites.uef.fi/spectral/munsell-colors-glossy-all-spectrofotometer-measured/
#  adapted to Illuminant E for simplicity

"X" "Y" "Z"
"2.5GY6/6" 26.1032322228747 29.4724429463929 9.69330124916418
"2.5GY6/8" 25.3515555470749 29.5042724151712 5.73661806624734
"2.5GY6/10" 24.8810149691391 29.5246089252052 3.22794539835323
"2.5GY7/2" 40.3311620732157 42.0855038781397 30.9528204983808
"2.5GY7/4" 38.9800523150987 42.1577007529848 22.681927791066
"2.5GY7/6" 37.9162193035379 42.2138614041839 16.2226335476181
"2.5GY7/8" 36.9514609320382 42.2599481432428 10.73950131238
"2.5GY7/10" 36.1051978498553 42.2946866322016 6.36971353446554
"2.5GY7/12" 35.6065055641086 42.3169315044814 3.65745805308603
"2.5GY8/2" 55.5378602661564 57.7570715397554 42.849342325614
"2.5GY8/4" 53.8738372913923 57.8435534986756 32.851295754297
"2.5GY8/6" 52.4748684821777 57.9202915919427 24.1340001481464
"2.5GY8/8" 51.2847370573633 57.9787504660635 17.2457685800885
"2.5GY8/10" 50.1971740521738 58.0273348540939 11.3252241988857
"2.5GY8/12" 49.3764928480275 58.0621542688431 7.00005712879082
"2.5GY9/2" 74.1007203277029 76.8745562390993 57.6931873372469
"2.5GY9/4" 71.970477710125 76.9916946253075 44.3969223248927
"2.5GY9/6" 70.2717773557732 77.0871913213929 33.6327089831648
"2.5PB2/2" 2.95182015260493 3.02607622506971 4.5611812797115
"2.5PB2/4" 2.87819404301729 3.00036495821153 6.40324967694679
"2.5PB2/6" 2.82878761346754 2.96860964170809 8.7609334780068
"2.5PB3/2" 6.19415588527855 6.35256108999573 8.98592699423538
"2.5PB3/4" 6.04696367179839 6.31150314855899 11.8685883502601
"2.5PB3/6" 5.925458601776 6.26650043717943 15.1074260019598
"2.5PB3/8" 5.83604133185198 6.21628444083738 18.8132767485448
"2.5PB3/10" 5.761386037708 6.15994201874831 23.0223035313373
"2.5PB4/2" 11.4127229222124 11.6513859441098 14.9458031018427
"2.5PB4/4" 11.1447764587965 11.5955645085542 18.7301024656371
"2.5PB4/6" 10.934165433993 11.5363770172648 22.8887654337109
"2.5PB4/8" 10.7203337608782 11.4659350629668 27.9114400396644
"2.5PB4/10" 10.5577104904489 11.3956591364595 33.0231218714167
"2.5PB5/2" 18.8559495946957 19.2085253300607 23.3417065037526
"2.5PB5/4" 18.4321197625247 19.1367895213517 28.0467846727044
"2.5PB5/6" 18.1006898150996 19.0550558008563 33.7088716630782
"2.5PB5/8" 17.7853079335472 18.9682573240587 39.794583348929
"2.5PB5/10" 17.5162388577899 18.8725371363244 46.662408739622
"2.5PB5/12" 17.2062721914479 18.7661804672209 54.2715160210123
"2.5PB6/2" 28.7506494320923 29.2250667969923 34.0907221537562
"2.5PB6/4" 28.1741287954069 29.1352997494565 39.8866466027305
"2.5PB6/6" 27.6223231152822 29.0283593992596 47.0599049439918
"2.5PB6/8" 27.2153585174442 28.9181591033666 54.7733592803008
"2.5PB6/10" 26.7713021451495 28.7975020062363 63.2217684356703
"2.5PB7/2" 41.2802682443949 41.8960525066889 47.4926044247717
"2.5PB7/4" 40.4936283541572 41.7766175307835 55.1651348522406
"2.5PB7/6" 39.7210469532989 41.6493295643335 63.4729742180517
"2.5PB7/8" 39.0504688264197 41.5064569092289 73.1890022919869
"2.5PB8/2" 56.7726490904405 57.5158913322876 63.9580112967292
"2.5PB8/4" 55.6302185452751 57.3582098755342 73.8808865651619
"2.5PB8/6" 54.4525512811025 57.1831503905331 85.0776919879104
"2.5PB9/2" 75.6787234848655 76.5753742160971 83.9703159636799
"2.5P2/2" 3.43122928629192 3.03902059254868 4.5135583826722
"2.5P2/4" 3.78774095096178 3.03065617345172 5.86952203159273
"2.5P2/6" 4.16408103689246 3.02238868873355 7.25742530806634
"2.5P2/8" 4.68187429074721 3.01167005938397 9.11623394072308
"2.5P2/10" 5.20000203178907 3.00078451694514 10.9886168443784
"2.5P3/2" 7.02323596426249 6.37541442672367 8.86740337582534
"2.5P3/4" 7.60672147439284 6.36001746361718 11.2186876158188
"2.5P3/6" 8.21901446495585 6.34444784280078 13.6406200048943
"2.5P3/8" 8.9056174287291 6.32902346230248 16.1991137505355
"2.5P3/10" 9.70727006345123 6.31157825686624 19.1427184481967
"2.5P4/2" 12.4834303151016 11.6793061907951 14.9159756600682
"2.5P4/4" 13.2455376199337 11.6586648935892 18.0281140101171
"2.5P4/6" 14.0106355816798 11.6371006702322 21.217579302042
"2.5P4/8" 14.8936461309043 11.6145403015637 24.7186011188289
"2.5P4/10" 15.8526278863356 11.5911586130328 28.4342418030789
"2.5P4/12" 16.9397496700255 11.565260265145 32.5993763929003
"2.5P5/2" 20.1266773504241 19.247072584162 22.8878072346094
"2.5P5/4" 21.0897680000344 19.2174446691502 27.0947015269588
"2.5P5/6" 22.1413563428353 19.1855691119154 31.651439852947
"2.5P5/8" 23.343637441786 19.1528966069881 36.5695248930435
"2.5P5/10" 24.4898795719782 19.1218025200817 41.2540802825824
"2.5P6/2" 30.3000313757417 29.2699202509622 33.7033150126816
"2.5P6/4" 31.4357470495743 29.2345339002526 38.698896990602
"2.5P6/6" 32.7737648606805 29.1906449995506 44.7544201665261
"2.5P6/8" 34.1609203669335 29.1493845304354 50.7043905149585
"2.5P7/2" 43.0930540662242 41.9489939501177 47.0035551274941
"2.5P7/4" 44.5559339605392 41.9015778288456 53.5802092766665
"2.5P7/6" 46.0822744112704 41.8503000986672 60.581735151821
"2.5P7/8" 47.8279918828034 41.7938129373113 68.4224733289521
"2.5P8/2" 58.7480009139658 57.5822979628549 62.7508935904039
"2.5P8/4" 60.5927991768138 57.515079119434 71.6186777591932
"2.5P9/2" 77.9843346669815 76.6478467653984 82.9509105614018
"2.5RP2/2" 3.6881314128327 3.05599878071726 3.71141939119119
"2.5RP2/4" 4.18757252319765 3.06186217611283 4.25127832844987
"2.5RP2/6" 4.73730851458497 3.06808401803763 4.86344598580907
"2.5RP2/8" 5.4608434225778 3.07586830667083 5.70044099010254
"2.5RP3/2" 7.43989659710437 6.40633603217802 7.30462599063689
"2.5RP3/4" 8.41575164648647 6.42009292545471 8.18153782259986
"2.5RP3/6" 9.36413569466488 6.43306213564094 9.06473211235604
"2.5RP3/8" 10.4380066213257 6.44771677936073 10.0671547547998
"2.5RP3/10" 11.5951726249679 6.4629544407591 11.1901515341662
"2.5RP4/2" 13.0498305377278 11.7211623259617 12.8053399364895
"2.5RP4/4" 14.3560270500974 11.7407365753161 13.8893511380185
"2.5RP4/6" 15.7757828767862 11.7616689405324 15.0941827654535
"2.5RP4/8" 17.2203384149212 11.7829113821959 16.3243570088348
"2.5RP4/10" 18.6178711052579 11.8029512131257 17.5540176721072
"2.5RP4/12" 20.2104571078922 11.8256505400358 18.9659327959039
"2.5RP5/2" 20.8136048219718 19.2965535122302 20.4271872584359
"2.5RP5/4" 22.5619449234383 19.3241311752813 21.7715906120257
"2.5RP5/6" 24.5042119699809 19.3545128530082 23.2848311709405
"2.5RP5/8" 26.6128419438519 19.3871612541596 24.9536411559167
"2.5RP5/10" 28.4346951782294 19.4145153912427 26.4615413255869
"2.5RP5/12" 30.5991095473715 19.4469497529595 28.2578539695969
"2.5RP6/2" 31.2455376346969 29.3341112817395 30.619303855711
"2.5RP6/4" 33.3535753309942 29.3686145060493 32.1434843421348
"2.5RP6/6" 35.8415072645227 29.4089473104979 33.9723737037529
"2.5RP6/8" 38.1346741244143 29.4456963102243 35.6910676690572
"2.5RP6/10" 40.5736316272885 29.4842166543936 37.5627275711718
"2.5RP6/12" 43.3443179148522 29.5272224729191 39.7472534447554
"2.5RP7/2" 44.1205852218503 42.0224726068794 43.3643797928767
"2.5RP7/4" 46.8750617451272 42.0705098809026 45.1275348462425
"2.5RP7/6" 50.0314630167122 42.1227505526295 47.364983503637
"2.5RP7/8" 53.2263545215105 42.1758650997318 49.6113996318607
"2.5RP7/10" 56.2855437637372 42.2266240415337 51.7701010584239
"2.5RP8/2" 59.7856781692444 57.658367432372 58.9315249476001
"2.5RP8/4" 63.4286627311222 57.7238475161543 61.1128006326565
"2.5RP8/6" 67.4312625526089 57.7962901624158 63.4708280305587
"2.5RP9/2" 79.2519867858927 76.7421353498724 78.1798746762584
"2.5R2/2" 3.72528026338047 3.06809352014529 2.84990039034388
"2.5R2/4" 4.34792937167683 3.08560518140634 2.73393246582377
"2.5R2/6" 4.99772642049657 3.10332923447648 2.65553242522676
"2.5R2/8" 5.79625574260576 3.12451744824886 2.60502693943004
"2.5R3/2" 7.52911863621588 6.4298321567041 5.66489466132344
"2.5R3/4" 8.61447804927241 6.46505953537514 5.09907681948756
"2.5R3/6" 9.68345321627634 6.49859697300575 4.63137213570585
"2.5R3/8" 10.9435817628665 6.5368949274412 4.17567299735658
"2.5R3/10" 12.2502994612719 6.57505709034718 3.82313653797913
"2.5R4/2" 13.1820844648705 11.7523876657597 10.6534187738529
"2.5R4/4" 14.6693545873368 11.8027103983506 9.71948564599705
"2.5R4/6" 16.2155305833657 11.8531605450955 8.89285551862912
"2.5R4/8" 17.8650931365829 11.9053166882902 8.13990835276632
"2.5R4/10" 19.5028613969665 11.9556706190323 7.50288628805963
"2.5R4/12" 21.2642041312945 12.008635035667 6.9097457168814
"2.5R4/14" 23.2309146884132 12.0661177156022 6.37561744565268
"2.5R5/2" 20.9975852914515 19.332859751327 17.9851890009325
"2.5R5/4" 23.0327340436316 19.4039688831682 16.5333104947395
"2.5R5/6" 25.1423281652373 19.4760822236205 15.1518302559341
"2.5R5/8" 27.316055950785 19.5481364869577 13.9024736911088
"2.5R5/10" 29.586885929262 19.620531267165 12.8199070159239
"2.5R5/12" 32.0976239302426 19.6983614353195 11.7941190508109
